x,y,z
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-4.787928443690716,-9.03724061167127,0.6418983377614867
-5.778353797572619,-7.52164875377733,0.8226311149557626
-6.76877915145452,-6.006056895883388,1.0033638921500385
-7.759204505336422,-4.490465037989447,1.1840966693443145
-8.749629859218324,-2.9748731800955057,1.3648294465385904
-9.740055213100227,-1.4592813222015641,1.5455622237328663
-10.730480566982129,0.056310535692377164,1.726295000927142
-10.465831551819795,0.050938194523571505,1.7120304665675918
-10.201182536657463,0.045565853354765845,1.6977659322080416
-9.936533521495129,0.04019351218596017,1.6835013978484916
-9.671884506332795,0.03482117101715452,1.6692368634889414
-9.40723549117046,0.02944882984834885,1.654972329129391
-9.142586476008127,0.024076488679543196,1.640707794769841
-8.877937460845793,0.018704147510737526,1.6264432604102907
-8.61328844568346,0.013331806341931866,1.6121787260507405
-8.348639430521127,0.007959465173126207,1.5979141916911903
-8.083990415358794,0.00258712400432054,1.58364965733164
-7.8193414001964605,-0.0027852171644851195,1.5693851229720903
-7.554692385034125,-0.00815755833329078,1.5551205886125397
-7.290043369871793,-0.013529899502096442,1.5408560542529897
-7.025394354709459,-0.01890224067090211,1.5265915198934394
-6.760745339547125,-0.02427458183970777,1.5123269855338894
-6.496096324384792,-0.02964692300851343,1.4980624511743392
-6.2314473092224585,-0.0350192641773191,1.483797916814789
-5.9667982940601245,-0.04039160534612476,1.4695333824552388
-5.881983892472896,-0.003601486852025375,1.4286685530389802
-5.7971694908856675,0.033188631642074,1.3878037236227216
-5.71235508929844,0.06997875013617338,1.3469388942064628
-5.627540687711211,0.10676886863027277,1.3060740647902043
-5.542726286123983,0.14355898712437215,1.2652092353739457
-5.457911884536754,0.18034910561847153,1.2243444059576871
-5.373097482949527,0.21713922411257092,1.1834795765414285
-5.288283081362298,0.25392934260667027,1.14261474712517
-5.20346867977507,0.2907194611007696,1.1017499177089114
-5.118654278187842,0.32750957959486904,1.0608850882926528
-5.033839876600613,0.36429969808896845,1.0200202588763942
-4.949025475013386,0.4010898165830678,0.9791554294601357
-4.864211073426157,0.43787993507716716,0.938290600043877
-4.779396671838929,0.47467005357126657,0.8974257706276184
-4.694582270251701,0.511460172065366,0.8565609412113598
-4.609767868664472,0.5482502905594653,0.8156961117951012
-4.5249534670772436,0.5850404090535647,0.7748312823788426
-4.4401390654900155,0.621830527547664,0.733966452962584
