x,y,z
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-11.62892344,-0.676255679,1.571706643
-11.0960942,-0.650067523,1.539475085
-10.56326497,-0.623879368,1.507243527
-10.02244614,-0.586207462,1.481167613
-9.481627308,-0.548535556,1.455091698
-8.937000227,-0.526928986,1.417535401
-8.408201745,-0.487933304,1.390800029
-7.888314208,-0.461613193,1.343622304
-7.34474816,-0.432027647,1.318702987
-6.819583089,-0.414438662,1.282950754
-6.296567395,-0.386539373,1.24561139
-5.775106502,-0.360722628,1.196633505
-5.244294859,-0.349539551,1.164356022
-4.716033068,-0.339551075,1.123883195
-4.202559649,-0.319686684,1.086913256
-3.669451581,-0.290377761,1.041906743
-3.700391804,-0.28731304,1.002655805
-3.731332027,-0.284248318,0.963404867
-3.76227225,-0.281183597,0.924153929
-3.793212473,-0.278118876,0.884902991
-3.824152696,-0.275054154,0.845652052
-3.855092919,-0.271989433,0.806401114
-3.886033142,-0.268924711,0.767150176
-3.916973365,-0.26585999,0.727899238
-3.947913588,-0.262795268,0.6886483
-3.978853811,-0.259730547,0.649397362
-4.009794034,-0.256665826,0.610146424
-4.040734257,-0.253601104,0.570895485
-4.07167448,-0.250536383,0.531644547
-4.102614703,-0.247471661,0.492393609
-4.721877059,-0.367799112,0.440023852
-5.111363748,-0.161466677,0.408498135
-1,-1,-1
