x,y,z
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-15.14639953,-0.837324045,1.801659625
-15.04959449,-1.312488022,1.674391052
-14.95278945,-1.787651999,1.547122479
-14.85598442,-2.262815976,1.419853906
-14.75917938,-2.737979953,1.292585333
-14.66237434,-3.21314393,1.165316759
-11.83295062,-0.57709041,1.576450111
-11.28261781,-0.511860489,1.531983643
-10.71711384,-0.484192888,1.490882459
-10.17631018,-0.44163669,1.450259536
-9.635506522,-0.399080492,1.409636614
-9.094702862,-0.356524294,1.369013691
-8.553899203,-0.313968095,1.328390768
-8.016737474,-0.277318394,1.279332453
-7.479575745,-0.240668692,1.230274138
-6.948330853,-0.215220731,1.188229156
-6.417085962,-0.189772769,1.146184175
-5.881499724,-0.147890954,1.106530943
-5.354728716,-0.118731831,1.057785448
-4.827957709,-0.089572707,1.009039953
-4.301186701,-0.060413584,0.960294458
-3.787532682,-0.038870774,0.910169618
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
