x,y,z
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-15.14639953,-0.837324045,1.801659625
-14.31803731,-0.772265636,1.745357247
-13.48967508,-0.707207227,1.689054868
-12.66131285,-0.642148819,1.632752489
-11.83295062,-0.57709041,1.576450111
-11.00363401,-0.491865719,1.514474633
-10.18705574,-0.432566511,1.452446678
-9.370477471,-0.373267303,1.390418723
-8.553899203,-0.313968095,1.328390768
-7.751916514,-0.272059633,1.266552578
-6.950887718,-0.223089549,1.196282551
-6.149858923,-0.174119465,1.126012524
-5.353772576,-0.128632982,1.053632582
-4.557686228,-0.083146498,0.98125264
-3.787532682,-0.038870774,0.910169618
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
