x,y,z
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-14.0617366,-0.923917385,1.778780288
-13.81465006,-0.906008759,1.769865097
-13.56756351,-0.888100134,1.760949906
-13.32047697,-0.870191508,1.752034715
-13.07339043,-0.852282882,1.743119524
-12.82630389,-0.834374256,1.734204333
-12.57921734,-0.81646563,1.725289142
-12.3321308,-0.798557004,1.716373951
-12.08504426,-0.780648378,1.70745876
-11.83795771,-0.762739752,1.698543568
-11.55373552,-0.754990549,1.698698907
-11.31716481,-0.720258462,1.67193247
-11.07233241,-0.707347665,1.668568906
-10.82756244,-0.691617633,1.655483939
-10.58279247,-0.675887602,1.642398972
-10.3380225,-0.66015757,1.629314006
-10.09325253,-0.644427538,1.616229039
-9.848482565,-0.628697507,1.603144072
-9.603712596,-0.612967475,1.590059105
-9.358942627,-0.597237443,1.576974138
-9.114172658,-0.581507412,1.563889171
-8.869402689,-0.56577738,1.550804204
-8.62463272,-0.550047348,1.537719237
-8.379862751,-0.534317317,1.524634271
-8.141851496,-0.507931717,1.509998979
-7.904813264,-0.495278843,1.478087913
-7.658107383,-0.475333997,1.47578622
-7.407685626,-0.458816192,1.457054298
-7.157263869,-0.442298387,1.438322375
-6.933151615,-0.419650083,1.406657461
-6.686199746,-0.403514192,1.392206998
-6.453803243,-0.400030064,1.382960943
-6.202701362,-0.38139466,1.35612573
-5.97061066,-0.359456723,1.337554396
-5.736113411,-0.346592414,1.316356724
-5.495926391,-0.327394482,1.292868581
-5.253791214,-0.302127722,1.267104075
-5.018433319,-0.281429157,1.253993731
-4.776407735,-0.285042248,1.235580687
-4.540929876,-0.259235178,1.206870759
-4.30382507,-0.245987931,1.188815584
-4.068808262,-0.225405259,1.161079289
-3.835509303,-0.213273875,1.13369288
-3.593870069,-0.202609058,1.117658262
-3.838924219,-0.593368586,1.101487046
-4.083978369,-0.984128114,1.085315831
-4.329032519,-1.374887642,1.069144615
-4.574086669,-1.765647169,1.0529734
-4.819140819,-2.156406697,1.036802184
-5.064194969,-2.547166225,1.020630969
-5.309249119,-2.937925753,1.004459753
-5.554303269,-3.32868528,0.988288537
-5.799357419,-3.719444808,0.972117322
-6.044411568,-4.110204336,0.955946106
-6.289465718,-4.500963864,0.939774891
-6.534519868,-4.891723392,0.923603675
-6.779574018,-5.282482919,0.90743246
-7.024628168,-5.673242447,0.891261244
-7.269682318,-6.064001975,0.875090029
-7.514736468,-6.454761503,0.858918813
-7.759790618,-6.84552103,0.842747598
-8.004844768,-7.236280558,0.826576382
-8.249898918,-7.627040086,0.810405167
-8.249898918,-7.627040086,0.810405167
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
