x,y,z
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-15.70497872,-0.868447832,1.78262471
-15.4282416,-0.847442648,1.774399697
-15.15150447,-0.826437464,1.766174685
-14.87476735,-0.805432279,1.757949672
-14.59803022,-0.784427095,1.749724659
-14.32441955,-0.76342824,1.738011865
-14.05080888,-0.742429386,1.726299071
-13.77719821,-0.721430531,1.714586277
-13.50358753,-0.700431677,1.702873483
-13.22997686,-0.679432823,1.691160689
-12.95636619,-0.658433968,1.679447895
-12.68275552,-0.637435114,1.667735101
-12.41720803,-0.618763214,1.661649059
-12.15166055,-0.600091314,1.655563016
-11.86441717,-0.579575653,1.640870732
-11.59496832,-0.554452309,1.62106617
-11.32357728,-0.525550187,1.616970776
-11.0489181,-0.514310021,1.598665333
-10.77737286,-0.486597779,1.583949933
-10.5223797,-0.468427067,1.564321656
-10.25554899,-0.456561322,1.557417346
-9.981055238,-0.463880851,1.547777045
-9.710548137,-0.426540764,1.534771074
-9.446117419,-0.407359711,1.518726812
-9.181686701,-0.388178659,1.502682549
-8.917255984,-0.368997606,1.486638287
-8.652825266,-0.349816554,1.470594025
-8.388394548,-0.330635502,1.454549762
-8.109914872,-0.331176805,1.444775628
-7.847555853,-0.318153913,1.430238398
-7.58488057,-0.292824796,1.412989844
-7.322205288,-0.267495679,1.39574129
-7.067144777,-0.240851245,1.367873617
-6.801937155,-0.232034049,1.352028807
-6.535622533,-0.206258352,1.336946619
-6.273339307,-0.194361204,1.317395248
-6.011056082,-0.182464056,1.297843876
-5.748772856,-0.170566908,1.278292505
-5.48648963,-0.15866976,1.258741134
-5.228983535,-0.148334068,1.248215164
-4.973863158,-0.124983035,1.22791294
-4.712645873,-0.11976134,1.20912206
-4.451428587,-0.114539645,1.190331181
-4.196721978,-0.08052862,1.174975613
-3.950859204,-0.085487795,1.14885461
-4.13456918,0.161490009,1.162552229
-4.318279156,0.408467814,1.176249848
-4.501989132,0.655445618,1.189947467
-4.685699108,0.902423423,1.203645086
-4.869409084,1.149401227,1.217342705
-5.05311906,1.396379032,1.231040324
-5.236829037,1.643356836,1.244737943
-5.420539013,1.89033464,1.258435562
-5.604248989,2.137312445,1.272133181
-5.787958965,2.384290249,1.2858308
-5.971668941,2.631268054,1.299528419
-6.155378917,2.878245858,1.313226038
-6.339088893,3.125223663,1.326923658
-6.522798869,3.372201467,1.340621277
-6.706508845,3.619179271,1.354318896
-6.890218821,3.866157076,1.368016515
-7.073928797,4.11313488,1.381714134
-7.257638773,4.360112685,1.395411753
-7.44134875,4.607090489,1.409109372
-7.625058726,4.854068293,1.422806991
-7.808768702,5.101046098,1.43650461
-7.992478678,5.348023902,1.450202229
-8.176188654,5.595001707,1.463899848
-8.35989863,5.841979511,1.477597467
-8.543608606,6.088957316,1.491295087
-8.727318582,6.33593512,1.504992706
-8.911028558,6.582912924,1.518690325
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
