x,y,z
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-2.275898188,-15.79616641,3.404483131
-2.2765205,-15.79469499,3.404614854
-2.27691804,-15.79330277,3.404950176
-2.27722544,-15.7926247,3.405187794
-2.277244708,-15.79151802,3.405449046
-2.277113034,-15.79114918,3.405443334
-2.277342203,-15.79138134,3.405491581
-2.277191944,-15.7921581,3.40563997
-2.277018252,-15.79371503,3.405869229
-3.026553212,-20.94987153,3.846190679
-3.025818491,-20.95690966,3.846511313
-2.273574765,-15.80182382,3.405238457
-2.271350536,-15.80691308,3.405103772
-2.269442071,-15.81203856,3.40423082
-2.267897011,-15.81788498,3.403251329
-2.266879374,-15.82165732,3.402272641
-3.012150206,-21.02139188,3.841169909
-2.26616851,-15.82877381,3.399541751
-2.265990607,-15.83178841,3.397922342
-2.266116722,-15.83412399,3.395832023
-2.266689018,-15.83561859,3.393720866
-2.267729257,-15.83619043,3.391033455
-2.269077628,-15.83560992,3.388407403
-2.270675734,-15.83486783,3.385435244
-2.272453782,-15.83455717,3.382476849
-2.274918779,-15.83291374,3.379091823
-2.277590712,-15.83095611,3.375690108
-2.280787045,-15.82841484,3.371891348
-2.31706921,-15.75683758,3.357315749
-2.391321978,-15.6097924,3.33025708
-2.502467591,-15.39544567,3.291195701
-2.647706733,-15.12872531,3.241210895
-2.824509064,-14.82668493,3.181001349
-3.031064268,-14.50851025,3.111942054
-3.265582037,-14.19644015,3.035287362
-3.527278943,-13.91373627,2.951761028
-3.817732362,-13.68517069,2.86295473
-3.662576842,-13.68318646,2.835888625
-3.313627677,-14.50685194,2.820281674
-2.95531886,-15.39596146,2.802694019
-2.597732886,-16.32227221,2.788196104
-2.942740732,-15.40895472,2.823455552
-3.339516612,-14.36504572,2.866159131
-3.725548073,-13.41338733,2.903281372
-3.875377442,-13.43232349,2.948438513
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
