x,y,z
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-3.020375408,-20.97454021,3.844876672
-2.249561624,-15.85152814,3.412404828
-2.231075546,-15.89034883,3.418615154
-2.216214366,-15.92208496,3.423774031
-2.205447997,-15.94531498,3.427720338
-2.198344828,-15.96083156,3.430550568
-2.194951737,-15.96828559,3.431924257
-2.195001756,-15.96765336,3.432105545
-2.199007074,-15.95793269,3.430685647
-2.206956311,-15.94078753,3.428020299
-2.218808763,-15.9160973,3.424116844
-2.234410673,-15.88417803,3.419802626
-2.9940587,-21.05333583,3.856022012
-3.026026865,-20.95358052,3.846797581
-2.302549675,-15.7407483,3.397300581
-2.332285694,-15.67900957,3.387449578
-2.365591539,-15.60807538,3.376134399
-2.402271085,-15.53418364,3.363868256
-2.442411453,-15.45398274,3.350571686
-3.319806362,-20.05872458,3.75971508
-2.532877995,-15.27871522,3.320869128
-2.58274537,-15.18392705,3.304437002
-2.635118849,-15.08760472,3.286894194
-2.691022906,-14.98656076,3.26849563
-2.74939893,-14.88369466,3.249012675
-2.810921166,-14.77840231,3.228722216
-2.874820598,-14.67203499,3.207447019
-3.081040319,-13.9519674,2.697103614
-3.010942018,-14.46054127,3.162948683
-3.08297635,-14.35504117,3.13953795
-3.15757819,-14.25147628,3.115352011
-3.234791185,-14.14958532,3.090603037
-3.314291521,-14.05213403,3.065162069
-3.396429044,-13.95713991,3.039122297
-3.481550694,-13.86667199,3.012307354
-3.569014184,-13.78038575,2.985046542
-3.659006399,-13.70203449,2.957500483
-3.751782457,-13.62895208,2.929224646
-3.847350202,-13.56366956,2.900712547
-3.945850809,-13.50685017,2.871802322
-3.68818768,-13.8701314,2.859029526
-3.487295272,-14.09319834,2.827560115
-3.135211071,-14.94019423,2.813232238
-2.777527943,-15.85654654,2.793723917
-2.739737046,-15.95592327,2.802716581
-3.143857437,-14.87303015,2.845624222
-3.535035614,-13.87658429,2.885078234
-3.540971191,-14.81149105,2.884211981
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
